index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)"
"(-3.0, -3.0)",(0.008014234294691605+0.004456140742868166j),(-0.0008291295655779346+0.008458333965942519j),(-0.005493052098229627+0.0070387905604998415j),(-0.0048680047288920175+0.007407729499653263j),(0.0011747961304355797+0.008246145493129528j),(0.007474784750209399+0.0008018713489025343j),(-0.0010844403999547198-0.006622165719667304j),(-0.004221409649525743+0.004530832064391285j),(0.006184885723054803-0.000681903384219666j),(-0.00555434760630055-0.004307224595378385j),(-0.0020193243045653845+0.008434299949614695j),(0.009249055609257519+0.0051090917993936395j),(0.011200138223814585+0.0014555579022860199j),(0.0074202503987798535+0.006911615443629488j),(-0.005157341736637474+0.006372801708310498j),(-0.0022521697245225414-0.006357744120424643j),(0.0053861592183220225+0.002969019023298106j),(-0.006106275855099139+0.0014687014833066195j),(0.0023001080772714552-0.006500812196739757j)
"(-2.8461538461538463, -3.0)",(0.008456505542218471-0.0036516799659252483j),(0.005983762830565415+0.006095747265689358j),(0.0014655026999689797+0.008885157252051464j),(0.001721710237257108+0.008815267808487499j),(0.006441748283455595+0.005515358074109948j),(0.006491836316218394-0.004104492956117484j),(-0.004870257560895426-0.00482923976758989j),(-0.0009598980372753172+0.006228185443679181j),(0.004807683329603239-0.0040300601140574495j),(-0.0070054480905890225-0.0003694011795436796j),(0.003531344451108521+0.007872582178435665j),(0.010331271076662998-0.0023661994001615786j),(0.008923744247562563-0.007250869349110392j),(0.01034332953948233-0.0014089330768035139j),(0.002163938753654071+0.008170245063506899j),(-0.006677301907357626-0.0017816613705790726j),(0.005557329108244138-0.0028543641939905193j),(-0.0022618967826467155+0.005916702177594012j),(-0.003953894168890809-0.005687154092940124j)
"(-2.6923076923076925, -3.0)",(0.002394943163411433-0.008934053715582327j),(0.008563041786487934-0.0005468819930198723j),(0.007500057495317677+0.005114515421464466j),(0.0073875465558429975+0.0053094544222301665j),(0.008631969427270587+7.658435947467542e-05j),(0.0027721890307893277-0.00734189752450188j),(-0.006898426734758809-0.0012657143165776272j),(0.0025793109752868188+0.005876818332782j),(0.00198493809678745-0.006010317469502729j),(-0.006081684771509856+0.003468609342200493j),(0.007402058785688116+0.004324604100048745j),(0.006419160382826167-0.008448838549060258j),(0.0012379128305345045-0.011626861613275339j),(0.005833165635164162-0.009029497287181124j),(0.00806644778426658+0.00332438085477148j),(-0.005449520999472434+0.004535604818006j),(0.0008289016400229532-0.006296811824847959j),(0.0035663891130968506+0.00530207879026722j),(-0.006953160733878197-0.00019792352446798428j)
"(-2.5384615384615383, -3.0)",(-0.005427804258791353-0.007532163754208634j),(0.005315836266381522-0.006778261045268678j),(0.008978061948286747-0.0017442815431532642j),(0.009153960059714658-0.001018930316149574j),(0.006901656694045325-0.005434883254574829j),(-0.002052668945482038-0.007751863585432994j),(-0.006638581428709073+0.002722309111063844j),(0.00531254372820848+0.003816912830901449j),(-0.0012675589041331744-0.006264775240341503j),(-0.0034705303120358055+0.006065240012519248j),(0.008494586060757887-0.00044679749047758685j),(-9.736167740875239e-05-0.01059937452824027j),(-0.007129229855173189-0.009494294057898941j),(-0.0028693513409481617-0.010693588969424163j),(0.007871802095312908-0.004399173093805222j),(0.00045004143506912405+0.007269934636213336j),(-0.004726258677850762-0.004406784135181628j),(0.006443600060531922+0.0002249008794181871j),(-0.004382160680440337+0.005438004472596899j)
"(-2.3846153846153846, -3.0)",(-0.00928772521554757-0.0007082201325872498j),(-0.0013702018937235853-0.008532783506848576j),(0.00526137668050425-0.007557159336939193j),(0.006338282410076059-0.006832300062551483j),(0.002231812661777483-0.008653346182714775j),(-0.00616244910620823-0.005399755344373379j),(-0.004394673405303261+0.005882579944848699j),(0.006622554454752899+0.0008173256929168453j),(-0.004065970648853523-0.005020395266386203j),(-0.00019257522977647224+0.006973578698789581j),(0.006995767861195856-0.004702894786475702j),(-0.006204431766022769-0.008549597708838326j),(-0.011764278302063046-0.0025340953619440963j),(-0.009995656901632718-0.005487228992888801j),(0.0017029562129020639-0.009175639002714238j),(0.0062323832832437195+0.0041613864082351935j),(-0.006468541200253232+0.0012115137495825811j),(0.004075013981486172-0.005073554813104597j),(0.001581942454353816+0.006829486488308689j)
"(-2.230769230769231, -3.0)",(-0.006661461760961554+0.006547995275612457j),(-0.0071198919014907516-0.0049363879358704545j),(-0.0013073876510727447-0.009171386869382852j),(0.0005573977368587254-0.009407189396089019j),(-0.003310768597418573-0.008462114299200608j),(-0.008268670214148642-0.0013008105068255463j),(-0.0010023189593446156+0.007449459264272578j),(0.006417776779421895-0.002283003326078589j),(-0.005890097886985458-0.0028334530174684283j),(0.0028506699144110106+0.006357373809982333j),(0.0038868939196415853-0.007382969343711119j),(-0.009796370630218225-0.003780155099703996j),(-0.01088777898460333+0.005437442260163983j),(-0.011307043970477068+0.0031551314586976695j),(-0.005994065739431851-0.007587816226210894j),(0.007351488161548861-0.0023643149058374985j),(-0.003023121646155555+0.005989660742107469j),(-0.0015369166330974674-0.0063877765593292396j),(0.006323572389572226+0.003082970110982619j)
"(-2.0769230769230766, -3.0)",(0.0003763154295077318+0.009354594738496117j),(-0.008540034608625248+0.0015435738761290447j),(-0.007112038940019864-0.006011565045072347j),(-0.005414346837614839-0.00783246144121021j),(-0.007621718034518219-0.005213231884459261j),(-0.007948128390921653+0.0031475552927077827j),(0.0025696381817150124+0.007253918635754175j),(0.005000207670006551-0.004839072226651491j),(-0.006612051317456513-0.00031766922266019337j),(0.005115805256309276+0.004722400460411577j),(0.00031503014354935784-0.008243929978475024j),(-0.010277541533956913+0.0016485350211035382j),(-0.0056179517545963805+0.0109130596811632j),(-0.006420827718433741+0.010227222442242891j),(-0.009999393963628382-0.0007891957342664225j),(0.002975218209402422-0.007394853606940497j),(0.0028645681860081803+0.006220362129076083j),(-0.006004762854660579-0.002824618553144845j),(0.006450180219502953-0.0028659395312434967j)
"(-1.923076923076923, -3.0)",(0.007071587923948044+0.006159913681744706j),(-0.00510768311830111+0.007024716311529278j),(-0.009352007421743375+1.8396299869658362e-05j),(-0.00909962438989553-0.0030971933580411955j),(-0.009372789196108417-0.0002887629597051868j),(-0.005571976592408551+0.006716940379827546j),(0.005538076369753351+0.005604522060592372j),(0.0028575767582521565-0.006513066458530705j),(-0.006392914756260837+0.002042518946310229j),(0.0064419809315464744+0.002641234798855041j),(-0.0028509577832086163-0.007635575986939387j),(-0.008281985692685467+0.006104924901591109j),(0.0013488466799824882+0.012265987325497838j),(0.001697939702473948+0.012289683097764877j),(-0.007880349118861677+0.006808999625573591j),(-0.0037261261458086128-0.007351576383353359j),(0.0067610645489519965+0.0018103966076175604j),(-0.006079076026362512+0.0028303254993083146j),(0.0020943446273160218-0.006762925829412465j)
"(-1.7692307692307692, -3.0)",(0.0093620253659729-0.0007087716188689834j),(0.000964658834126415+0.008630099869926518j),(-0.007292811396150358+0.0059023352423277055j),(-0.009310627351965185+0.002699426396366382j),(-0.008313235482387818+0.0046280402398279534j),(-0.0019832379132425464+0.008680909335113314j),(0.007463307952785211+0.003059805031399157j),(0.00047696515861936665-0.00725768583712655j),(-0.005536840792848988+0.003966910894554048j),(0.006945438465967991+0.0005731807603181563j),(-0.005179682599609689-0.006158944518636891j),(-0.004988322161630228+0.008829471285628204j),(0.0074099515776176305+0.009893321557815686j),(0.009043812899032838+0.008948619756366424j),(-0.0011101855697908695+0.010763642189488434j),(-0.008208350958510113-0.002347955829235398j),(0.005944126495242127-0.00399882536783561j),(-0.0018813591716590197+0.00651376060343949j),(-0.0035949526039233447-0.0061225225529241605j)
"(-1.6153846153846154, -3.0)",(0.006240528534473608-0.0070209742670221545j),(0.006379044780937334+0.005876529863392426j),(-0.0022237137345401635+0.009134553441488696j),(-0.006347087178817488+0.0074216865968007115j),(-0.005089292900168347+0.008192630588429171j),(0.0018791093685501935+0.008882578652554072j),(0.008252902584043495+0.00020596696087205j),(-0.0017704887590896954-0.007226870976082541j),(-0.004367368170961284+0.005367232335971309j),(0.0068790121944827505-0.0012019841635893711j),(-0.00661883758976618-0.0043921572162439505j),(-0.0015031090086645774+0.009853730120739033j),(0.011099367051429831+0.005370900898397924j),(0.012813631352368097+0.002277560679219087j),(0.006465571409405946+0.009202253780598984j),(-0.007721615586871411+0.004344408102570869j),(0.001106658351645717-0.007260643110661907j),(0.003579599024122905+0.005851921291599573j),(-0.006928729605729429-0.0016342611800368866j)
